Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Pieris rapae,cabbage white butterfly,Clayton,Big white butterfly. One black dot on each wing. Top corner of wing is black.,White butterfly. black body with black fading from thorax into wings. black capitate antennae white tip. black forewing upper tip. six black spots on wings. two spots on each forewing one spot on upper hindwing.,"Pieris rapae, commonly known as the small white, is a small butterfly species with a wingspan of about 1.5 to 2 inches. The upper side of the wings is white with black tips and a black border. The underside of the wings is grayish-white with black spots and a black border. The caterpillar is green with a yellow stripe down the back and a black head.",53936
Bombus flavifrons,"yellow-fronted bumble bee,yellowhead bumblebee",Clayton,Bumblebee. Fuzzy body. Yellow and black stripes. Small antennae.,mostly black bee. yellow hairs on head with black eyes. bright yellow stripe on abdomen. yellow hairs on thorax. black fading to orange legs. brown transparent membranous wings. very small hindwings.,"Bombus flavifrons is a species of bumblebee found in North America. It is a medium-sized bee, with a body length of about 1.2 cm. The head and thorax are black, while the abdomen is yellow with a black tip. The wings are transparent and the legs are yellow. The antennae are black and the eyes are reddish-brown.",2568
Hippodamia variegata,"Adonis ladybird, variegated ladybug",Clayton,Orange ladybug. Round body. Black dots on round body. White specks on black head.,orange ladybug. black and white head. black and white thorax. orange elytra forewings. three black spots in triangle shape on lower forewings. black spot at wing thorax joint. black abdomen. white margins on front thorax. two white spots on thorax.,"Hippodamia variegata is a small, black and white ladybug species. It has a black head and thorax, and a white abdomen with black spots. Its wings are black with white spots, and its legs are black. It has a length of about 4-5 mm.",8036
Ptecticus trivittatus,"Yellow Soldier Fly, Compost Fly",Clayton,Orange soldier fly. Big orange eyes. Orange thorax with brown stripes.,orange fly. very large black or orange compound eyes. very short orange antennae. halteres. orange transparent membranous forewings. black feet with orange legs.,"Ptecticus trivittatus is a species of cicada found in the eastern United States. It is a medium-sized cicada, with a body length of about 1.5 inches (3.8 cm). Its body is black with three yellow stripes running down its back. Its wings are transparent and its eyes are red. Its legs are black and its antennae are long and thin.",1256
Eudryas grata,beautiful wood nymph,Clayton,White moth. Black and brown line on top of wings. Thick white antennae.,very furry forelegs. white and black forelegs. Edge between the white area on forewing and brown band is not scalloped; brown border of hindwing does not reach apex. roll up wings to look like bird droppings. Maroon and orange margins on forewings. yellow tan hindwings with maroon rear margins.,"Eudryas grata is a small, grayish-brown moth with a wingspan of about 1.5 inches. Its wings are marked with a pattern of white and gray lines and spots, and its body is covered in short, grayish-brown hairs. Its antennae are long and thin, and its legs are short and stout.",3045
Virbia laeta,Joyful Holomelina,Clayton,Black moth. Bright orange on abdomen and part of wings. Black dots down abdomen.,black moth. very fine orange line on front margins of forewing. bright orange hindwing with black margins. Bright orange abdomen with black spots down center. orange head. black eyes. black antennae. forewings like black leather.,Virbia laeta is a small moth with a wingspan of about 1.5 cm. Its wings are a bright orange-red color with a black border and a white fringe. The body is black with a yellowish-orange stripe running down the middle. Its antennae are black and its legs are yellow.,632
Pseudomantis albofimbriata,False garden mantis,Clayton,Bright green preying mantis. Orange eyes.,green praying mantis. green or tan eyes. small setaceous antennae. very long mid and hind legs. thick forelegs with sharp spikes. tegmina green or tan wings.,"Pseudomantis albofimbriata is a species of praying mantis that is native to the tropical regions of South America. It is a medium-sized species, reaching up to 4 cm in length. It has a light green body with white stripes running along its back and sides. Its head is triangular in shape and its eyes are large and black. Its legs are long and thin, and its wings are transparent. Its abdomen is yellowish-green in color and its wings are fringed with white.",1751
Chlosyne nycteis,Silvery checkerspot,Clayton,"Black and orange butterfly. Black on outside, orange on inside.",Black and orange butterfly. black and white striped capitate antennae with white tip. upper side has six black spots in orange boxes near rear forewing margins. white spots on margins. underwings are light orange with black and tan shadings. black and orange speckled abdomen. black thorax. black eyes.,Chlosyne nycteis is a medium-sized butterfly with a wingspan of approximately 2.5 inches. The upper side of the wings is a bright orange-red color with black spots and a white border. The underside of the wings is a pale yellow-orange color with black spots and a white border. The body is black with white spots.,6109
Scathophaga stercoraria,"yellow dung fly, the golden dung fly",Clayton,Yellow fuzzy fly. Big orange eyes.,brown or orange eyes. orange fly. orange transparent membranous wings. very fuzzy orange hair all over body. upper legs fuzzy orange hair.,"Scathophaga stercoraria is a species of fly found in the family Scathophagidae. It is a small, black fly with a yellowish-brown thorax and yellowish-brown legs. Its wings are transparent and its eyes are red. Its body is covered in short, black hairs. It has a long, slender abdomen and a short, pointed head. Its antennae are short and its mouthparts are short and curved.",3066
Eremnophila aureonotata,Gold-Marked Thread-Waisted Wasp,Clayton,Black wasp. Big black eyes. Very skinny abdomen.,black wasp. large black eyes. black membranous wings. very narrow wings. black thorax with white spots on underside. very long and narrow abdomen thickening like a club at end.,"Eremnophila aureonotata is a small, slender species of moth with a wingspan of about 1.5 inches. Its wings are a pale yellowish-brown color, with a darker brown pattern of lines and spots. Its body is a light brown color, and its antennae are long and thin.",5174
